,record,speaker,sessionname,utterances,corpus,age,mlu,morphemes,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,ToAdults?,ClauseMarkers,Subject,Object,Topic,UttGoal,ToAdult?,Followup?,MORPHEMES,Verb,Aux,AuxInvert,InitFunction,PreVFunction,PostVFunction,SFP,Function,filename,start,end,dur,utt
0,1,MOT,130202.cha,好了 还 有 汽车 在 这 呢 . ,Tong,"(1, 7, 18)",1.962162162,co|hao3le=good adv|hai2=still v|you3=have n|qi4che1=motor_vehicle prep|zai4=at pro|zhe4=this sfp|ne .,,Assertion,Declarative,Attention,,,,0,0,,1,1,1,,,,"['co', 'adv', 'v', 'n', 'prep', 'pro', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-MOT-1,0.0,10.865,10865,好了 还 有 汽车 在 这 呢 .
1,2,FAT,130202.cha,什么 颜色 的 汽车 啊 ? ,Tong,"(1, 7, 18)",1.962162162,pro:wh|shen2me=what n|yan2se4=color nom|de n|qi4che1=motor_vehicle sfp|a1 ?,,Question,FRAG,Teaching,yes,,,1,0,IntWh,0,0,0,,,,"['pro:wh', 'n', 'nom', 'n', 'sfp', '?']",0,0,0,1,0,0,1,1,130202-FAT-2,10.865,13.354,2489,什么 颜色 的 汽车 啊 ?
2,3,CHI,130202.cha,白色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|bai2se4=white sfp|de .,,,,,,,,1,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,1,0,130202-CHI-3,13.354,14.863,1509,白色 的 .
3,4,FAT,130202.cha,红色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|hong2se4=red_color sfp|de .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,1,0,130202-FAT-4,14.863,16.12,1257,红色 的 .
4,5,CHI,130202.cha,红色 的 [?] . ,Tong,"(1, 7, 18)",1.962162162,n|hong2se4=red_color sfp|de .,,,,,,,,1,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,1,0,130202-CHI-5,16.12,17.976,1856,红色 的 [?] .
5,6,MOT,130202.cha,同同 刚才 说 还 有 汽车 . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong adv|gang1cai2=just_now v|shuo1=say v|huan2=give_back v|you3=have n|qi4che1=motor_vehicle .,,Assertion,Declarative,Discussing,,,,0,1,,1,1,0,,,,"['n:name', 'adv', 'v', 'v', 'v', 'n', '.']",1,0,0,0,0,1,0,0,130202-MOT-6,18.023,19.72,1697,同同 刚才 说 还 有 汽车 .
6,7,MOT,130202.cha,他 自己 说 的 . ,Tong,"(1, 7, 18)",1.962162162,pro|ta1=he pro|zi4ji3=self v|shuo1=say cleft|de .,,Assertion,Declarative,Discussing,,,,0,1,,1,0,0,,,,"['pro', 'pro', 'v', 'cleft', '.']",1,0,0,0,0,1,0,1,130202-MOT-7,20.0,20.933,933,他 自己 说 的 .
7,8,FAT,130202.cha,红色 早 就 会 说 了 . ,Tong,"(1, 7, 18)",1.962162162,n|hong2se4=red_color adv|zao3=long_ago adv|jiu4=just v:aux|hui4=will v|shuo1=say sfp|le .,,Assertion,Declarative,Discussing,,,,0,1,,0,0,1,,,,"['n', 'adv', 'adv', 'v:aux', 'v', 'sfp', '.']",1,1,0,0,0,0,1,0,130202-FAT-8,20.933,23.548,2615,红色 早 就 会 说 了 .
8,9,FAT,130202.cha,红色 . ,Tong,"(1, 7, 18)",1.962162162,n|hong2se4=red_color .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-FAT-9,23.548,25.447,1899,红色 .
9,10,FAT,130202.cha,哪 个 是 蓝色 的 ? ,Tong,"(1, 7, 18)",1.962162162,pro:wh|na3=which cl|ge4 v:cop|shi4=is n|lan2se4=blue nom|de ?,,Question,Interrogative,Teaching,yes,Wh,,0,0,IntWh,1,1,0,,,,"['pro:wh', 'cl', 'v:cop', 'n', 'nom', '?']",0,1,0,1,0,0,0,1,130202-FAT-10,25.447,27.56,2113,哪 个 是 蓝色 的 ?
10,11,MOT,130202.cha,同同 昨天 还 说 : . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong n|zuo2tian1=yesterday adv|hai2=still v|shuo1=say .,,Assertion,FRAG,Discussing,,,,0,1,,1,0,0,,,,"['n:name', 'n', 'adv', 'v', '.']",1,0,0,0,1,0,0,0,130202-MOT-11,27.56,29.404,1844,同同 昨天 还 说 : .
11,12,MOT,130202.cha,说 妈妈 干吗 来 着 [>] . ,Tong,"(1, 7, 18)",1.962162162,v|shuo1=say n:relat|ma1&DIM=mother pro:wh|gan4ma2=what_to_do v|lai2=come asp|zhe=durative .,,Assertion,Declarative,Discussing,,,,1,1,,0,1,0,,,,"['v', 'n:relat', 'pro:wh', 'v', 'asp', '.']",1,0,0,0,0,1,1,1,130202-MOT-12,29.404,32.295,2891,说 妈妈 干吗 来 着 [>] .
12,13,FAT,130202.cha,蓝色 的 [<] . ,Tong,"(1, 7, 18)",1.962162162,n|lan2se4=blue sfp|de .,,Assertion,FRAG,Discussing,,,,0,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-13,29.804,31.195,1391,蓝色 的 [<] .
13,14,FAT,130202.cha,蓝色 的 在 哪儿 啊 ? ,Tong,"(1, 7, 18)",1.962162162,n|lan2se4=blue nom|de v|zai4=at pro:wh|na3-DIA=which sfp|a1 ?,,Question,Interrogative,Teaching,yes,Wh,,1,0,IntWh,1,0,0,,,,"['n', 'nom', 'v', 'pro:wh', 'sfp', '?']",1,0,0,0,0,1,1,1,130202-FAT-14,32.295,33.321,1026,蓝色 的 在 哪儿 啊 ?
14,15,MOT,130202.cha,哎呀 都 忘 了 . ,Tong,"(1, 7, 18)",1.962162162,co|ai1ya1=jeez adv|dou1=all v|wang4=forget sfp|le .,,Assertion,Declarative,Discussing,,,,1,1,,0,0,0,,,,"['co', 'adv', 'v', 'sfp', '.']",1,0,0,0,1,0,1,0,130202-MOT-15,33.321,35.582,2261,哎呀 都 忘 了 .
15,16,FAT,130202.cha,哪 个 是 蓝色 的 啊 ? ,Tong,"(1, 7, 18)",1.962162162,pro:wh|na3=which cl|ge4 v:cop|shi4=is n|lan2se4=blue nom|de sfp|a1 ?,,Question,Interrogative,Teaching,yes,Wh,,1,0,IntWh,1,1,0,,,,"['pro:wh', 'cl', 'v:cop', 'n', 'nom', 'sfp', '?']",0,1,0,1,0,0,1,1,130202-FAT-16,35.582,36.4,818,哪 个 是 蓝色 的 啊 ?
16,17,FAT,130202.cha,"哦 , 这 是 蓝色 的 . ",Tong,"(1, 7, 18)",1.962162162,co|o1=chant cm|cm pro|zhe4=this v:cop|shi4=is n|lan2se4=blue nom|de .,,Assertion,Declarative,Teaching,,,,1,0,,1,1,0,,,,"['co', 'cm', 'pro', 'v:cop', 'n', 'nom', '.']",0,1,0,0,0,0,0,0,130202-FAT-17,36.4,39.75,3350,"哦 , 这 是 蓝色 的 ."
17,18,CHI,130202.cha,xxx . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-18,39.75,51.88,12130,xxx .
18,19,FAT,130202.cha,"同同 , 爸爸 教 你 汽车 . ",Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong cm|cm n:relat|ba4&DIM=father v|jiao1=teach pro|ni3=you n|qi4che1=motor_vehicle .,,Assertion,Declarative,Teaching,,,,0,0,,1,1,0,,,,"['n:name', 'cm', 'n:relat', 'v', 'pro', 'n', '.']",1,0,0,0,0,0,0,0,130202-FAT-19,51.88,55.237,3357,"同同 , 爸爸 教 你 汽车 ."
19,20,CHI,130202.cha,白色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|bai2se4=white sfp|de .,,,,,,,,0,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,1,0,130202-CHI-20,55.237,58.879,3642,白色 的 .
20,21,FAT,130202.cha,红色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|hong2se4=red_color sfp|de .,,Assertion,FRAG,Teaching,,,,0,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-21,58.879,59.937,1058,红色 的 .
21,22,CHI,130202.cha,ong2色 [: 红色] [*] .,Tong,"(1, 7, 18)",1.962162162,n|hong2se4=red_color .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-22,59.937,62.443,2506,ong2色 [: 红色] [*] .
22,23,FAT,130202.cha,蓝色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|lan2se4=blue sfp|de .,,Assertion,FRAG,Teaching,,,,0,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-23,62.443,63.68,1237,蓝色 的 .
23,24,CHI,130202.cha,蓝 . ,Tong,"(1, 7, 18)",1.962162162,n|lan2=blue .,,,,,,,,0,0,,0,0,0,,,,"['n', '.']",0,0,0,0,0,0,0,0,130202-CHI-24,63.68,64.452,772,蓝 .
24,25,FAT,130202.cha,这 个 呢 ? ,Tong,"(1, 7, 18)",1.962162162,pro|zhe4=this cl|ge4 sfp|ne ?,,Question,FRAG,Teaching,yes,,,1,0,,0,0,0,,,,"['pro', 'cl', 'sfp', '?']",0,0,0,0,0,0,1,0,130202-FAT-25,64.452,65.758,1306,这 个 呢 ?
25,26,FAT,130202.cha,黄色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|huang2se4=yellow sfp|de .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-26,65.758,67.92,2162,黄色 的 .
26,27,CHI,130202.cha,ang2[: 黄] [*] .,Tong,"(1, 7, 18)",1.962162162,adj|huang2=yellow .,,,,,,,,0,0,,0,0,0,,,,"['adj', '.']",0,0,0,0,0,0,0,0,130202-CHI-27,67.92,69.055,1135,ang2[: 黄] [*] .
27,28,FAT,130202.cha,橘黄色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|ju2huang2se4=orange_color sfp|de .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-28,68.555,69.742,1187,橘黄色 的 .
28,29,FAT,130202.cha,橘黄色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|ju2huang2se4=orange_color sfp|de .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-29,69.742,73.118,3376,橘黄色 的 .
