Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Naima020411,why don't you think I'm recording Naima ?,Naima,3.775,6.278,[],[1|5|LINK] [2|5|AUX 3|2|NEG] [4|5|SUBJ] [5|0|ROOT] [6|8|SUBJ 7|8|AUX] [8|5|COMP] [9|8|OBJ 10|5|PUNCT],[adv:int|why] [mod|do~neg|not] [pro:per|you] [v|think] [pro:sub|I~aux|be&1S] [part|record-PRESP] [n:prop|Naima ?],,,,,,,,,,MotherofNaima_Naima020411_1
2,Naima,Naima020411,because (t:t:trail off),Naima,6.278,9.79,[],[1|0|INCROOT 2|1|PUNCT],[conj|because (mt:trail off)],,,,,,,,,,NaimaofNaima_Naima020411_2
3,Naima,Naima020411,yyy yyy yyy .,Naima,9.79,14.295,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_3
4,Mother,Naima020411,is that a reason ?,Naima,14.295,15.863,[],[1|0|ROOT] [2|1|PRED] [3|4|DET] [4|2|OBJ 5|1|PUNCT],[cop|be&3S] [pro:rel|that] [det:art|a] [n|reason ?],,,,,,,,,,MotherofNaima_Naima020411_4
5,Naima,Naima020411,yeah .,Naima,15.863,17.1,[],[1|0|INCROOT 2|1|PUNCT],[co|yeah .],,,,,,,,,,NaimaofNaima_Naima020411_5
6,Mother,Naima020411,oh okay .,Naima,17.1,17.985,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|oh] [co|okay .],,,,,,,,,,MotherofNaima_Naima020411_6
7,Naima,Naima020411,xxx .,Naima,17.985,19.896,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_7
8,Mother,Naima020411,"I am going to record you and me , that's what I'm trying to do .",Naima,19.898,26.008,[],[1|3|SUBJ] [2|3|AUX] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|OBJ] [7|5|CONJ] [8|11|LINK 9|8|LP] [10|11|SUBJ 11|7|COORD] [12|15|LINK] [13|15|SUBJ 14|15|AUX] [15|11|COMP] [16|17|INF] [17|15|XCOMP 18|3|PUNCT],[pro:sub|I] [aux|be&1S] [part|go-PRESP] [inf|to] [v|record] [pro:per|you] [coord|and] [pro:obj|me cm|cm] [pro:dem|that~cop|be&3S] [pro:int|what] [pro:sub|I~aux|be&1S] [part|try-PRESP] [inf|to] [v|do .],,,,,,,,,,MotherofNaima_Naima020411_8
9,Naima,Naima020411,xxx .,Naima,0.0,0.0,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_9
10,Naima,Naima020411,xxx yyy see yourself .,Naima,26.008,29.1,[],[] [] [1|0|ROOT] [2|1|OBJ 3|1|PUNCT],[] [] [v|see] [pro:refl|yourself .],,,,,,,,,,NaimaofNaima_Naima020411_10
11,Mother,Naima020411,"&-um , today is Friday the twenty fifth .",Naima,29.1,31.7,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|3|PRED] [5|6|DET] [6|4|OBJ] [7|6|POSTMOD 8|3|PUNCT],[cm|cm] [adv:tem|today] [cop|be&3S] [n:prop|Friday] [det:art|the] [det:num|twenty] [adj|fifth .],,,,,,,,,,MotherofNaima_Naima020411_11
12,Mother,Naima020411,"of July , two thousand and three (t:t:trail off)",Naima,0.0,0.0,[],[1|0|INCROOT] [2|1|POBJ 3|2|LP] [4|5|QUANT] [5|2|COORD] [6|5|CONJ] [7|6|COORD 8|1|PUNCT],[prep|of] [n:prop|July cm|cm] [det:num|two] [det:num|thousand] [coord|and] [det:num|three (mt:trail off)],,,,,,,,,,MotherofNaima_Naima020411_12
13,Naima,Naima020411,Naima wants to see herself .,Naima,31.7,33.688,Original Orthography: want < s >[],[1|2|SUBJ] [2|0|ROOT] [3|4|INF] [4|2|XCOMP] [5|4|OBJ 6|2|PUNCT],[n:prop|Naima] [v|want-3S] [inf|to] [v|see] [pro:refl|herself .],,,,,,,,,,NaimaofNaima_Naima020411_13
14,Naima,Naima020411,Naima want .,Naima,33.688,36.006,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[n:prop|Naima] [v|want .],,,,,,,,,,NaimaofNaima_Naima020411_14
15,Mother,Naima020411,"and you can see yourself when it's done , you can't see yourself now .",Naima,36.006,38.475,[],[1|4|LINK] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|4|OBJ] [6|9|LINK] [7|9|SUBJ 8|9|AUX] [9|4|CJCT 10|9|LP] [11|14|SUBJ] [12|14|AUX 13|12|NEG] [14|9|CJCT] [15|14|OBJ] [16|14|JCT 17|4|PUNCT],[coord|and] [pro:per|you] [mod|can] [v|see] [pro:refl|yourself] [conj|when] [pro:per|it~aux|be&3S] [part|do&PASTP cm|cm] [pro:per|you] [mod|can~neg|not] [v|see] [pro:refl|yourself] [adv|now .],,,,,,,,,,MotherofNaima_Naima020411_15
16,Naima,Naima020411,xxx .,Naima,38.513,40.255,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_16
