Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Lily020215b,supposed to tell Manuela today ?,Lily,0.0,1.891,[],[1|0|ROOT] [2|3|INF] [3|1|XCOMP] [4|3|OBJ] [5|3|JCT 6|1|PUNCT],[v|suppose-PAST] [inf|to] [v|tell] [n:prop|Manuela] [adv:tem|today ?],,,,,,,,,,MotherofLily_Lily020215b_1
2,CameraOperator,Lily020215b,oo .,Lily,1.891,6.376,[],[1|0|INCROOT 2|1|PUNCT],[co|oo .],,,,,,,,,,CameraOperatorofLily_Lily020215b_2
3,CameraOperator,Lily020215b,very impressive when you do { that (?) } .,Lily,6.376,10.723,[],[1|2|JCT] [2|0|ROOT] [3|5|LINK] [4|5|SUBJ] [5|2|CJCT] [6|5|OBJ 7|2|PUNCT],[adv|very] [adj|impressive] [conj|when] [pro:per|you] [v|do] [pro:dem|that .],,,,,,,,,,CameraOperatorofLily_Lily020215b_3
4,Mother,Lily020215b,more impressed than mine .,Lily,10.723,12.996,[],[1|2|JCT] [2|0|ROOT] [3|2|JCT] [4|3|POBJ 5|2|PUNCT],[adv|more] [part|impress-PASTP] [prep|than] [pro:poss|mine .],,,,,,,,,,MotherofLily_Lily020215b_4
5,Mother,Lily020215b,she's like she'll say dede@c like when she wants me to name them .,Lily,12.996,18.483,[],[1|2|SUBJ 2|0|ROOT] [3|6|JCT] [4|6|SUBJ 5|6|AUX] [6|8|CJCT] [7|8|SUBJ] [8|2|PRED] [9|11|LINK] [10|11|SUBJ] [11|8|COMP] [12|11|OBJ] [13|14|INF] [14|11|XCOMP] [15|14|OBJ 16|2|PUNCT],[pro:sub|she~cop|be&3S] [prep|like] [pro:sub|she~mod|will] [v|say] [chi|dede] [v|like] [conj|when] [pro:sub|she] [v|want-3S] [pro:obj|me] [inf|to] [v|name] [pro:obj|them .],,,,,,,,,,MotherofLily_Lily020215b_5
6,Mother,Lily020215b,I'm like I don't know .,Lily,18.483,19.653,[],[1|2|SUBJ 2|0|ROOT] [3|7|LINK] [4|7|SUBJ] [5|7|AUX 6|5|NEG] [7|2|CJCT 8|2|PUNCT],[pro:sub|I~aux|be&1S] [conj|like] [pro:sub|I] [mod|do~neg|not] [v|know .],,,,,,,,,,MotherofLily_Lily020215b_6
7,Mother,Lily020215b,oh yeah right that's Kansas .,Lily,19.653,21.32,[],[1|3|COM] [2|3|COM] [3|0|INCROOT] [4|6|LINK 5|6|AUX] [6|3|CMOD 7|3|PUNCT],[co|oh] [co|yeah] [n|right] [pro:rel|that~aux|be&3S] [n:prop|Kansas .],,,,,,,,,,MotherofLily_Lily020215b_7
8,Lily,Lily020215b,yyy &-um .,Lily,21.32,25.483,[],[],[],,,,,,,,,,LilyofLily_Lily020215b_8
9,Mother,Lily020215b,I don't know wait wait move your hand I can't see the name .,Lily,0.0,0.0,[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT] [5|7|COM] [6|7|COM] [7|4|COMP] [8|9|MOD] [9|7|OBJ] [10|13|SUBJ] [11|13|AUX 12|11|NEG] [13|7|COMP] [14|15|DET] [15|13|OBJ 16|4|PUNCT],[pro:sub|I] [mod|do~neg|not] [v|know] [co|wait] [co|wait] [v|move] [det:poss|your] [n|hand] [pro:sub|I] [mod|can~neg|not] [v|see] [det:art|the] [n|name .],,,,,,,,,,MotherofLily_Lily020215b_9
10,Lily,Lily020215b,yyy yyy it has two ones in a won .,Lily,25.483,35.29,[],[] [] [1|4|SUBJ] [2|4|AUX] [3|4|QUANT] [4|0|ROOT] [5|4|JCT] [6|7|DET] [7|5|POBJ 8|4|PUNCT],[] [] [pro:per|it] [aux|have&3S] [det:num|two] [pro:indef|one-PL] [prep|in] [det:art|a] [part|win&PASTP .],,,,,,,,,,LilyofLily_Lily020215b_10
