Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Naima021008b,"okay on this , there's only been about five or ten minutes .",Naima,0.0,6.096,[],[1|6|COM] [2|1|JCT] [3|2|POBJ 4|3|LP] [5|6|SUBJ 6|0|ROOT] [7|8|JCT] [8|6|PRED] [9|8|JCT] [10|9|POBJ] [11|10|CONJ] [12|13|QUANT] [13|11|COORD 14|6|PUNCT],[co|okay] [prep|on] [pro:dem|this cm|cm] [pro:exist|there~cop|be&3S] [adv|only] [cop|be&PASTP] [prep|about] [det:num|five] [coord|or] [det:num|ten] [n|minute-PL .],,,,,,,,,,MotherofNaima_Naima021008b_1
2,Mother,Naima021008b,interval between the last tape and this one .,Naima,6.096,11.25,[],[1|0|INCROOT] [2|1|JCT] [3|5|DET] [4|5|MOD] [5|2|POBJ] [6|1|CONJ] [7|8|DET] [8|6|COORD 9|1|PUNCT],[n|interval] [prep|between] [det:art|the] [adj|last] [n|tape] [coord|and] [pro:dem|this] [pro:indef|one .],,,,,,,,,,MotherofNaima_Naima021008b_2
3,Mother,Naima021008b,on the twenty second of January .,Naima,11.25,14.843,[],[1|0|INCROOT] [2|4|DET] [3|4|QUANT] [4|1|POBJ] [5|4|NJCT] [6|5|POBJ 7|1|PUNCT],[prep|on] [det:art|the] [det:num|twenty] [n|second] [prep|of] [n:prop|January .],,,,,,,,,,MotherofNaima_Naima021008b_3
4,Naima,Naima021008b,xxx this is not xxx xxx .,Naima,14.843,25.04,[],[] [1|2|SUBJ] [2|0|ROOT] [3|2|NEG] [] [4|2|PUNCT],[] [pro:dem|this] [cop|be&3S] [neg|not] [] [.],,,,,,,,,,NaimaofNaima_Naima021008b_4
5,Naima,Naima021008b,Mommy kanommy@wp vommy@wp mumommy@wp Mommy .,Naima,25.04,27.9,[],[1|0|INCROOT] [2|1|CONJ] [3|2|COORD] [4|3|OBJ] [5|4|APP 6|1|PUNCT],[n:prop|Mommy] [wplay|kanommy] [wplay|vommy] [wplay|mumommy] [n:prop|Mommy .],,,,,,,,,,NaimaofNaima_Naima021008b_5
6,Mother,Naima021008b,hm: ?,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|hm ?],,,,,,,,,,MotherofNaima_Naima021008b_6
7,Naima,Naima021008b,yyy yyy .,Naima,27.9,30.293,[],[],[],,,,,,,,,,NaimaofNaima_Naima021008b_7
8,Mother,Naima021008b,that's my name .,Naima,30.293,31.545,[],[1|2|SUBJ 2|0|ROOT] [3|4|MOD] [4|2|PRED 5|2|PUNCT],[pro:dem|that~cop|be&3S] [det:poss|my] [n|name .],,,,,,,,,,MotherofNaima_Naima021008b_8
9,Naima,Naima021008b,Mommy ?,Naima,31.546,32.441,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Mommy ?],,,,,,,,,,NaimaofNaima_Naima021008b_9
10,Mother,Naima021008b,yes .,Naima,32.441,35.296,[],[1|0|INCROOT 2|1|PUNCT],[co|yes .],,,,,,,,,,MotherofNaima_Naima021008b_10
11,Naima,Naima021008b,xxx .,Naima,35.296,38.405,[],[],[],,,,,,,,,,NaimaofNaima_Naima021008b_11
12,Naima,Naima021008b,"I think maybe if the mommy wants to take care of the , of this doll the , maybe the daddy should go to a meeting .",Naima,38.405,46.663,[],[1|2|SUBJ] [2|0|ROOT] [3|2|JCT] [4|7|LINK] [5|6|DET] [6|7|SUBJ] [7|2|CJCT] [8|9|INF] [9|7|XCOMP] [10|9|OBJ] [11|10|NJCT] [12|13|DET 13|11|POBJ] [14|13|NJCT] [15|16|DET] [16|14|POBJ] [17|18|DET 18|9|LP] [19|23|JCT] [20|21|DET] [21|23|SUBJ] [22|23|AUX] [23|7|CJCT] [24|23|JCT] [25|26|DET] [26|24|POBJ 27|2|PUNCT],[pro:sub|I] [v|think] [adv|maybe] [conj|if] [det:art|the] [n|mommy] [v|want-3S] [inf|to] [v|take] [n|care] [prep|of] [det:art|the cm|cm] [prep|of] [pro:dem|this] [n|doll] [det:art|the cm|cm] [adv|maybe] [det:art|the] [n|daddy] [mod|should] [v|go] [prep|to] [det:art|a] [part|meet-PRESP .],,,,,,,,,,NaimaofNaima_Naima021008b_12
