Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
1,Mother,Lily020215a,we got a piece for you .,Lily,0.0,1.75,[],[1|2|SUBJ] [2|0|ROOT] [3|4|DET] [4|2|OBJ] [5|2|JCT] [6|5|POBJ 7|2|PUNCT],[pro:sub|we] [v|get&PAST] [det:art|a] [n|piece] [prep|for] [pro:per|you .],,,,,,,,,,MotherofLily_Lily020215a_1
2,Lily,Lily020215a,and a juicy juice .,Lily,1.75,6.543,[],[1|4|LINK] [2|4|DET] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[coord|and] [det:art|a] [adj|juice&dn-Y] [n|juice .],,,,,,,,,,LilyofLily_Lily020215a_2
3,Mother,Lily020215a,joosa@c juice .,Lily,6.543,8.285,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[chi|joosa] [n|juice .],,,,,,,,,,MotherofLily_Lily020215a_3
4,Mother,Lily020215a,here sweet stuff .,Lily,8.285,11.858,[],[1|3|JCT] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[adv|here] [adj|sweet] [n|stuff .],,,,,,,,,,MotherofLily_Lily020215a_4
5,Mother,Lily020215a,what do ya (replacement:replacement:you) say ?,Lily,11.858,17.58,[],[1|4|LINK] [2|4|AUX] [3|4|SUBJ] [4|0|ROOT 5|4|PUNCT],[pro:int|what] [mod|do] [pro:per|you] [v|say ?],,,,,,,,,,MotherofLily_Lily020215a_5
6,Lily,Lily020215a,yyy yyy .,Lily,17.58,18.281,[],[],[],,,,,,,,,,LilyofLily_Lily020215a_6
7,Mother,Lily020215a,your welcome .,Lily,18.281,19.231,[],[1|2|MOD] [2|0|INCROOT 3|2|PUNCT],[det:poss|your] [n|welcome .],,,,,,,,,,MotherofLily_Lily020215a_7
8,Mother,Lily020215a,oh let me clean this cup out for you for your juice .,Lily,19.231,21.568,[],[1|2|COM] [2|0|ROOT] [3|2|OBJ] [4|6|MOD] [5|6|MOD] [6|2|OBJ] [7|2|JCT] [8|2|JCT] [9|8|POBJ] [10|9|JCT] [11|12|MOD] [12|10|POBJ 13|2|PUNCT],[co|oh] [v|let&ZERO] [pro:obj|me] [adj|clean] [det:dem|this] [n|cup] [adv|out] [prep|for] [pro:per|you] [prep|for] [det:poss|your] [n|juice .],,,,,,,,,,MotherofLily_Lily020215a_8
9,Mother,Lily020215a,alright ?,Lily,21.568,22.126,[],[1|0|INCROOT 2|1|PUNCT],[co|alright ?],,,,,,,,,,MotherofLily_Lily020215a_9
10,Mother,Lily020215a,it's a lil (replacement:replacement:little) dirty .,Lily,22.121,23.561,[],[1|2|SUBJ 2|0|ROOT] [3|5|DET] [4|5|MOD] [5|2|PRED 6|2|PUNCT],[pro:per|it~cop|be&3S] [det:art|a] [adj|little] [adj|dirt&dn-Y .],,,,,,,,,,MotherofLily_Lily020215a_10
